,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,0.3182,Sat Jun 09 23:52:23 +0000 2018,0.887,0.0,0.113,@BBCBreaking,The G7 summit ends in disarray after US President Donald Trump retracts his endorsement of a joint final statement. https://t.co/Hu0v1JWDc6,1
1,0.0,Fri Jun 08 21:32:33 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Actress Emma Thompson becomes a dame, with Liverpool legend Kenny Dalglish knighted in Queen's Birthday Honours… https://t.co/4R9Ij9tjlc",2
2,-0.4215,Fri Jun 08 19:58:46 +0000 2018,0.676,0.203,0.122,@BBCBreaking,"American special forces soldier killed in firefight with jihadist militants in Somalia, US military officials say https://t.co/i428JIXQZp",3
3,0.0,Fri Jun 08 18:35:39 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",4
4,-0.8176,Fri Jun 08 16:57:32 +0000 2018,0.638,0.362,0.0,@BBCBreaking,"Man charged with manslaughter of 100-year-old woman, who died after her neck was broken in bag theft https://t.co/DJ3TaRf5HB",5
5,-0.4767,Fri Jun 08 14:37:52 +0000 2018,0.734,0.192,0.073,@BBCBreaking,Landmark conviction against DR Congo warlord Jean-Pierre Bemba is overturned by International Criminal Court https://t.co/4AOSFC7tTj,6
6,-0.6486,Fri Jun 08 11:31:14 +0000 2018,0.83,0.17,0.0,@BBCBreaking,"US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://t.co/Rp7XdLkAwb",7
7,0.0,Thu Jun 07 16:03:45 +0000 2018,1.0,0.0,0.0,@BBCBreaking,RT @BBCSport: The Premier League's executive chairman Richard Scudamore is to stand down by the end of 2018 after nearly 20 years in the ro…,8
8,-0.5859,Thu Jun 07 11:11:29 +0000 2018,0.758,0.242,0.0,@BBCBreaking,"Met Police investigating use of ""stay put” policy by London Fire Brigade during Grenfell Tower fire https://t.co/XyWshIu1S3",9
9,-0.8225,Thu Jun 07 11:04:17 +0000 2018,0.64,0.312,0.048,@BBCBreaking,Swedish court sentences Uzbek Rakhmat Akilov to life over murder of five people in 2017 Stockholm lorry attack https://t.co/RnMYjyvpMF,10
10,0.2263,Thu Jun 07 08:52:10 +0000 2018,0.69,0.133,0.177,@BBCBreaking,Human rights campaigners lose UK Supreme Court appeal over legality of Northern Ireland's abortion law https://t.co/dWihoH5Emy,11
11,0.0,Thu Jun 07 06:59:04 +0000 2018,1.0,0.0,0.0,@BBCBreaking,"Department store chain House of Fraser is to close 31 shops, including Oxford Street, affecting 6,000 jobs https://t.co/ZuVEHtV4tB",12
