,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,-0.5106,Sun Jun 10 03:18:04 +0000 2018,0.784,0.216,0.0,@CBSNews,Video of TSA agents searching 96-year-old woman in wheelchair sparks outrage https://t.co/sUOKr00M3s https://t.co/XbmFluG6tG,1
1,0.296,Sun Jun 10 03:03:04 +0000 2018,0.733,0.093,0.173,@CBSNews,Pay Attention: Exploring how forest bathing benefits both body and mind https://t.co/L0PTY4iaIi https://t.co/azVqCPdsmI,2
2,-0.3182,Sun Jun 10 02:48:06 +0000 2018,0.796,0.204,0.0,@CBSNews,Group photo masks underlying tension at G-7 summit https://t.co/IxzFNmmTMG https://t.co/pQjYlFa7kW,3
3,-0.1154,Sun Jun 10 02:40:10 +0000 2018,0.935,0.065,0.0,@CBSNews,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/4iVsuvmx32",4
4,0.5719,Sun Jun 10 02:33:04 +0000 2018,0.791,0.0,0.209,@CBSNews,Meghan Markle joins Trooping the Color ceremony to celebrate Queen Elizabeth II's birthday https://t.co/RdN9tiKJJl https://t.co/aSUkB6cbzQ,5
5,-0.8481,Sun Jun 10 02:18:04 +0000 2018,0.521,0.479,0.0,@CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/gmAJYKjHqm https://t.co/nAVwq2BAL1",6
6,0.5574,Sun Jun 10 02:03:04 +0000 2018,0.739,0.0,0.261,@CBSNews,"President Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/VwUVPwkYMQ https://t.co/RqRqj3eZbO",7
7,0.296,Sun Jun 10 01:48:07 +0000 2018,0.82,0.0,0.18,@CBSNews,Inside the auto shop that only restores Volkswagen Beetles https://t.co/ilBA23EnQp https://t.co/FYsxQWD5fD,8
8,0.802,Sun Jun 10 01:39:52 +0000 2018,0.613,0.0,0.387,@CBSNews,"Anthony Bourdain famously championed for better treatment, respect and recognition of immigrant laborers in America… https://t.co/GgrSjMz2uG",9
9,-0.6908,Sun Jun 10 01:39:52 +0000 2018,0.737,0.263,0.0,@CBSNews,Farrah Fawcett's son has been charged with punching and stabbing five men in a violent spree last month… https://t.co/6UFD8r0m7u,10
