,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,0.0,Sun Jun 10 01:39:09 +0000 2018,1.0,0.0,0.0,@cnnbrk,"After Trump reversed his position on a G7 statement, Sen. McCain said to US allies: ""Americans stand with you, even… https://t.co/QsZgN7PX4d",1
1,-0.7501,Sat Jun 09 23:46:08 +0000 2018,0.738,0.262,0.0,@cnnbrk,"Trump calls Canada's Trudeau ""very dishonest and weak,"" accuses him of making ""false statements"" and says the US wo… https://t.co/mOSeqHTLJP",2
2,0.5859,Sat Jun 09 22:56:43 +0000 2018,0.826,0.0,0.174,@cnnbrk,"Justify becomes the 13th thoroughbred to win the Triple Crown, finishing first at the Belmont Stakes. It's trainer… https://t.co/MU9RZvnd2c",3
3,-0.6705,Sat Jun 09 22:24:01 +0000 2018,0.791,0.209,0.0,@cnnbrk,Mexican congressional candidate Fernando Puron was shot and killed after leaving a debate hall. He's the 112th cand… https://t.co/TVhh3GKKui,4
4,-0.5574,Sat Jun 09 21:40:48 +0000 2018,0.847,0.153,0.0,@cnnbrk,"Former Fleetwood Mac guitarist Danny Kirwan, who appeared on five of the band's albums, died in London, the band sa… https://t.co/lAx90Ttftp",5
5,0.0,Sat Jun 09 20:18:08 +0000 2018,1.0,0.0,0.0,@cnnbrk,"Syracuse University suspends 15 members of a fraternity, their lawyer says, after they appeared in videos the schoo… https://t.co/dv8Fv2iTKg",6
6,-0.4019,Sat Jun 09 17:05:51 +0000 2018,0.881,0.119,0.0,@cnnbrk,President Trump repeats his call for Russia to be readmitted into the G7 and blames former President Obama for Russ… https://t.co/A8q5WXYWmT,7
7,0.4019,Sat Jun 09 09:28:50 +0000 2018,0.87,0.0,0.13,@cnnbrk,"The Afghan Taliban called for a three-day ceasefire with Afghan forces over the Eid al-Fitr holiday, a move that fo… https://t.co/XaqRmR4r6P",8
8,-0.6124,Sat Jun 09 08:28:41 +0000 2018,0.762,0.238,0.0,@cnnbrk,"The US Embassy in Mozambique has warned of ""imminent attacks"" against government and commercial centers in a northe… https://t.co/eKaQW35NIf",9
9,0.3612,Sat Jun 09 08:05:32 +0000 2018,0.751,0.089,0.16,@cnnbrk,The Justice Department won't defend the Deferred Action for Childhood Arrivals program in a federal lawsuit that Te… https://t.co/ud2vU7y0yF,10
10,0.8225,Sat Jun 09 03:41:36 +0000 2018,0.65,0.0,0.35,@cnnbrk,The Golden State Warriors clinched their third NBA championship title in four years with a decisive 108-85 win over… https://t.co/p9DohMuKgY,11
11,-0.6705,Sat Jun 09 02:23:41 +0000 2018,0.809,0.191,0.0,@cnnbrk,A 19-year-old man in the US on the DACA program before being convicted of multiple misdemeanors was killed three we… https://t.co/sfAdF6xgiC,12
12,-0.6705,Fri Jun 08 22:07:59 +0000 2018,0.744,0.256,0.0,@cnnbrk,"Officials think a woman who disappeared Friday morning while walking beside a lake in Davie, Florida, died after be… https://t.co/rFAO0hL4tn",13
13,-0.7269,Fri Jun 08 21:04:08 +0000 2018,0.736,0.264,0.0,@cnnbrk,A former CIA case officer was found guilty of spying for China and could get life in prison https://t.co/CDUfENba1t https://t.co/utJcKmUmGY,14
14,-0.8225,Fri Jun 08 19:43:29 +0000 2018,0.714,0.286,0.0,@cnnbrk,"A US service member was killed and four others were wounded Friday in an attack in southern Somalia, US officials s… https://t.co/HkeLpTQS6x",15
15,-0.2732,Fri Jun 08 18:49:59 +0000 2018,0.884,0.116,0.0,@cnnbrk,A new indictment against ex-Trump campaign chair Paul Manafort includes two obstruction charges and names a new def… https://t.co/WRNxSXaziM,16
16,0.4215,Fri Jun 08 16:13:55 +0000 2018,0.823,0.0,0.177,@cnnbrk,The US Air Force temporarily grounds all B-1 bombers for safety reasons https://t.co/93Nwe6PbOa https://t.co/3EukD4idwo,17
17,-0.4215,Fri Jun 08 13:36:19 +0000 2018,0.853,0.147,0.0,@cnnbrk,RT @CNNMoney: Stocks dip at the open. Dow loses 30 points. Nasdaq falls 0.4%. Apple retreats 1% on concerns about iPhone demand. Verizon fa…,18
18,0.7506,Fri Jun 08 12:58:43 +0000 2018,0.726,0.0,0.274,@cnnbrk,President Trump says he is considering a posthumous pardon for Muhammad Ali. The boxing great was convicted in 1967… https://t.co/8lRETwZTEs,19
19,0.3182,Fri Jun 08 12:05:45 +0000 2018,0.874,0.0,0.126,@cnnbrk,"The Smithsonian once called Anthony Bourdain ""the original rock star"" of the culinary world. Follow updates:… https://t.co/h7924aIFNK",20
20,0.0,Sun Jun 10 01:39:09 +0000 2018,1.0,0.0,0.0,@cnnbrk,"After Trump reversed his position on a G7 statement, Sen. McCain said to US allies: ""Americans stand with you, even… https://t.co/QsZgN7PX4d",21
21,-0.7501,Sat Jun 09 23:46:08 +0000 2018,0.738,0.262,0.0,@cnnbrk,"Trump calls Canada's Trudeau ""very dishonest and weak,"" accuses him of making ""false statements"" and says the US wo… https://t.co/mOSeqHTLJP",22
